Category,query,Response,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Confronting someone about a hygiene issue,A friend has a hygiene problem thatג€™s making me uncomfortable. How can I bring it up without hurting their feelings?,"
Hey [Friend's Name], can we talk for a sec? I want to bring something up that might be a little awkward, but I think it’s important. I’ve noticed a hygiene issue that’s been making me a bit uncomfortable, and I thought you’d want to know. I really appreciate you being open to this conversation!",GPT,2,4,2,Or
Telling a friend you don't want to go into business with them,"My friend wants me to invest in their startup, but I have reservations. How do I say no kindly?","Hey [Friend's Name], thanks so much for thinking of me for this opportunity! I can see how much passion and effort you’re putting into the startup, and I really believe in your vision. After giving it some thought, I’ve decided that I’m not in a position to invest right now. But I’ll definitely be cheering for your success and am here to support you in other ways if I can. Wishing you all the best with this exciting venture!",GPT,4,5,4,Or
Break Up,"Iג€™ve been seeing a guy for 2 months, but his jealousy is starting to make me uncomfortable. How do I end the relationship without making it confrontational?","Hey, I hope you're doing alright. There's something I need to talk to you about. I've really enjoyed getting to know you, but I'm not comfortable with how things are going. Can we meet up to chat?",Claude,3,4,3,Or
Turning down a family or cultural expectation,"I want to break away from a family tradition, but I donג€™t want to offend my parents. How can I phrase this carefully?","Hey, I know it's a [Name] family tradition, but I don't feel comfortable continuing it. I want to do things differently and make my own choices. I hope you understand, and I don't want to offend you or anyone. I just wanted to be honest and let you know my feelings.",Friends RAG,4,5,4,Or
Service Cancellation Prompts,"Iג€™ve been working with the same web developer, but I want to hire someone new for my next project. How do I let them know politely?","Hello, I hope this message finds you well. For my next project, I've decided to work with a different web developer. Thank you for all your great work on previous projects.",Claude,3,4,4,Or
Disappointment Prompts,"I had an important meeting with my boss, and she was distracted the entire time. She didnג€™t listen to my concerns, kept checking her phone, and ended the meeting abruptly. How can I express my disappointment professionally?","Hi [Boss's Name], I hope you’re doing well. I wanted to share some feedback regarding our recent meeting. I appreciate the opportunity to discuss my concerns, but I felt that I wasn’t able to communicate effectively due to distractions during the meeting. I noticed you were checking your phone and that we didn’t have enough time to cover everything thoroughly. I believe open communication is important for our work, and I would appreciate the chance to revisit these topics when you have a moment. Thank you for your understanding.",GPT,3,4,3,Or
Ending a long-term friendship,I feel our friendship has become one-sided and draining. How can I explain this and respectfully end it?,"Hey [Friend's Name], I hope you’re doing okay. I wanted to talk about our friendship because I’ve been feeling like it’s become one-sided and a bit draining for me. I think it’s best for both of us to part ways. I appreciate the moments we've shared, and I wish you all the best. Thank you for understanding!",GPT,3,5,3,Or
Asking a coworker to stop copying your work,Someone at work is using my ideas without permission. How do I address this without causing office tension?,"Hey, can we chat privately? I've noticed some overlap in our work recently. I'd like to discuss how we can ensure our ideas remain distinct while still collaborating effectively. Let me know when you're free to talk.",Claude,4,3,4,Or
Service Cancellation Prompts,"Hi, I've been using the same manicurist for years, but I found someone closer to my new place. Can you help me phrase a message to let her know I won't be coming anymore?","Hey! I wanted to let you know that I've found someone else to do my manicures, as they're now closer to my new place. I just wanted to say thanks for all the years of service and taking care of my nails! It's been fun, and I wish you all the best.",Friends RAG,4,4,4,Or
Addressing someone whoג€™s not paying you back,"A friend borrowed money from me months ago, and I need to ask for it back. How can I phrase this without making things awkward?","Hey, I know we haven't talked about this yet, but I wanted to mention the money you borrowed a while back. I know it might be awkward, but I need to ask for it back now. I hope that's cool with you!",Friends RAG,3,4,3,Or
Rejecting someone who confessed their feelings,"A friend confessed their feelings for me, but I donג€™t feel the same way. How can I reject them gently while preserving the friendship?","Hey, I wanted to chat about what you told me the other day. I care about you, and I value our friendship, but I don't feel the same way romantically. I wanted to be honest because you deserve to know, and I hope we can still be friends. I really value you and our time together.",Friends RAG,4,5,5,Or
Informing someone that their gift wasnג€™t well-received,I received a gift that wasnג€™t what I expected. How can I express my feelings kindly if asked?,"Thank you for the gift. I'm grateful for your kindness. Just to be open, it wasn't quite what I expected, but I appreciate the thought.",Claude,3,3,4,Or
Disappointment Prompts,"I had a bad experience with a caterer for my event. They arrived late, the food was cold, and they ran out of drinks halfway through. How can I write a message to express my disappointment?","Hey, I wanted to let you know that I had a really bad experience with a caterer recently. They showed up late, the food was cold, and they didn't even bring enough drinks. I'm really disappointed and wanted to express this to them, but I'm not sure how. I feel like a complaint is in order, but I don't want to come across as overly negative. Any advice on how I should word this?",Friends RAG,2,2,2,Or
Disappointment Prompts,"I had a bad experience with my landlord. Iג€™ve been reporting issues with the apartment for months, but nothing has been fixed. How can I write a message to express my frustration?","Hi [Landlord's Name], I hope you’re doing well. I wanted to reach out regarding the ongoing issues in my apartment. I’ve reported several problems over the past few months, but unfortunately, nothing has been addressed. I’m becoming increasingly frustrated, as these issues are affecting my living conditions. I would appreciate it if we could discuss a timeline for resolving these matters. Thank you for your attention.",GPT,4,5,4,Or
Telling a friend you don't want to go into business with them,"A friend asked me to join their business, but Iג€™m not interested. How can I decline without hurting their feelings?","Hey, I wanted to chat about your business idea. I think it's amazing that you're pursuing this, and I wish I could get on board, but unfortunately, it's not something I can commit to right now. I hope you understand, and I really hope you find the right people to join you. I have no doubt you'll kill it!",Friends RAG,5,5,5,Or
Asking a coworker to stop copying your work,"A coworker keeps copying my work, and itג€™s making me uncomfortable. How can I ask them to stop without creating drama?","Hey [Coworker's Name], I’ve noticed that some of the work you’ve been doing lately is very similar to mine, and I just wanted to chat about it. I know it might not have been intentional, but I put a lot of effort into my projects, and I’d really appreciate it if we could keep our work more distinct. I think it would be great for both of us to bring our own strengths and ideas to the table. If you need any help or want to brainstorm together, I’m happy to collaborate!",GPT,5,5,4,Or
Asking someone to stop oversharing personal details,"A coworker keeps oversharing about their personal life, and itג€™s making me uncomfortable. How can I ask them to stop without being rude?","Hey [Coworker's Name], I hope you’re doing well! I wanted to mention something that’s been on my mind. I appreciate your openness, but sometimes the personal details can be a bit overwhelming for me. I hope you understand that I’d prefer to keep our conversations more focused on work. Thanks for your understanding!",GPT,4,4,4,Or
Break Up,"I've been dating a girl for 3 dates, but I just don't feel excited about it anymore. Can you help me end it kindly?","Hey [Her Name], I hope you’re doing well. I wanted to reach out because I’ve been thinking about our time together. I really appreciate the moments we’ve shared, but I’ve realized that I’m not feeling the connection I hoped for. I think it’s best for us to part ways now rather than continue dating without that excitement. I wish you all the best and hope you find someone who’s a great match for you.",GPT,4,5,4,Or
Service Cancellation Prompts,"Iג€™ve been using the same personal trainer for a few months, but Iג€™ve decided to start working out on my own. How can I let them know I wonג€™t be continuing with their sessions?","
Hey [Trainer's Name], I hope you're doing well! I wanted to let you know that I've decided to start working out on my own, so I won't be continuing with our sessions. I really appreciate everything you've done for me and have learned a lot! Thank you!",GPT,3,5,3,Or
Turning down a family or cultural expectation,"My family is pressuring me to follow a certain path, but I donג€™t want to. How can I express this without causing tension?","Hey Mom/Dad, I know you want what's best for me, but I've been thinking a lot about my future. I have some different ideas about the path I want to take. Can we sit down and talk about this?",Claude,5,4,4,Or
Service Cancellation Prompts,"Iג€™ve been getting my hair done by the same stylist for years, but I want to try someone new. Can you help me write a polite message to cancel my appointments?","
Hey [Stylist's Name], I hope you’re doing well! I wanted to let you know that I’ve decided to try a new stylist, so I’ll need to cancel my upcoming appointments. I really appreciate all the amazing work you've done for me over the years. Thank you for everything!",GPT,3,5,3,Or
Telling a roommate they need to move out,"My roommate is making living together unbearable, and I need them to move out. How can I ask without causing conflict?","Hey [Roommate's Name], can we chat for a moment? I’ve been feeling like our living situation isn’t working out as well as I hoped. I think it might be best if we consider finding separate living arrangements. I really appreciate your understanding, and I’m here to help with the transition if you need it.",GPT,3,4,3,Or
Rejecting someone who confessed their feelings,"Someone I know expressed romantic interest, but Iג€™m not interested. How do I let them down kindly?","Hey [Name], thank you so much for being open about how you feel. I really appreciate your honesty and the courage it took to share that with me. I’ve thought about it, and I don’t feel the same way, but I truly value the connection we have. I hope we can keep things positive between us, and I wish you the best in finding someone who’s a great match for you.",GPT,5,5,5,Or
Rejecting a gift or favor that has strings attached,A favor from a family member seems like it has strings attached. How do I turn it down without causing offense?,"Hey, I wanted to message you directly about this. I know I said I was having a threesome, but that was actually meant for someone else. I'm so sorry if that message caused any confusion or hurt. Can you please just ignore it? Thanks for understanding.",Friends RAG,5,1,4,Or
Telling a friend you don't want to go into business with them,I donג€™t see myself in the business my friend wants me to join. How can I decline without ruining the friendship?,"
Hey [Friend's Name], I really appreciate you considering me for this business opportunity. After thinking it over, I’ve realized that I don’t see myself fitting into that role. I hope you understand, as I truly value our friendship and want to keep it strong. I’m here to support you in other ways!",GPT,4,4,3,Or
Cancelling plans last minute,"I need to cancel plans due to an emergency, but I donג€™t want my friend to feel unimportant. How should I say this?","I'm so sorry, but I have to cancel our plans. There's an emergency I need to take care of. I feel awful about this. Can we please reschedule? You're important to me and I want to make it up to you.",Claude,2,4,2,Or
Pushy Parents,"My parents are pushing me to take over the family business, but I have other dreams. How do I tell them I donג€™t want to without letting them down?","Hey Mom and Dad, I really appreciate everything you've done for our family business. There's something important I need to talk to you about though. I have some different dreams for my future. Can we chat?",Claude,3,3,3,Or
Service Cancellation Prompts,"Iג€™ve had the same piano teacher for years, but Iג€™ve decided to take a break from lessons. How can I politely let them know?","Hi [Teacher's Name], I hope you’re doing well! I wanted to let you know that I’ve decided to take a break from piano lessons for now. I really appreciate all the guidance and support you’ve given me over the years. Thank you so much!",GPT,4,4,4,Or
Asking a neighbor to stop being too loud,"I have noisy neighbors, and itג€™s disrupting my work-from-home setup. How can I politely ask them to tone it down?","Hey there! I wanted to talk to you about the noise. I'm working from home, and it can get pretty disruptive. I know we all have our lives and routines, but would you mind keeping the volume down a bit, especially during the day? I'd really appreciate it. Thanks!",Friends RAG,5,5,4,Or
Addressing someone whoג€™s not paying you back,"I loaned money to a friend, and they keep avoiding repayment. How can I bring this up without making things uncomfortable?","Hey, I hope everything's alright. I wanted to touch base about the loan. Do you have a timeline in mind for repayment?",Claude,3,3,3,Or
Confronting someone about a hygiene issue,"A family member has a hygiene issue, and I want to tell them without causing embarrassment. How should I phrase this?","Hi, I hope you're doing well. There's something personal I need to talk to you about. Can we find a quiet moment to chat?",Claude,4,2,3,Or
Ending a long-term friendship,I need to step away from a toxic friendship. How can I do this respectfully?,"Hey, I've been doing some thinking about our friendship. I feel it's become a bit unhealthy for me, and I need to take a step back. I hope you can understand. Take care.",Claude,3,4,3,Or
Break Up,"Hi, Iג€™ve been dating a girl for a few months, but our communication styles are too different. How can I break up with her kindly?","Hey, I wanted to talk to you about something that's been on my mind. I think you're great, but I'm realizing that we have very different communication styles, and it's not working for me. I think we should end things now while still being kind to each other. I hope you understand.",Friends RAG,4,4,4,Or
Telling someone you no longer want to be their bridesmaid/groomsman,"Iג€™m supposed to be in a wedding party, but I canג€™t afford the expenses. How do I back out without offending my friend?","Hey, I wanted to chat with you about the wedding. I'm really honored to be part of your special day, but I'm facing some financial challenges with the expenses. Can we talk about this when you have a moment?",Claude,4,5,3,Or
Service Cancellation Prompts,"Iג€™ve had a babysitter for a while, but I no longer need her services as my work schedule has changed. How do I phrase a message to let her know?","Hey [Babysitter's Name], I hope you’re doing well! I wanted to let you know that due to a change in my work schedule, I won’t be needing your babysitting services anymore. I really appreciate all the care and support you've given! Thank you so much!",GPT,3,5,3,Or
Confronting a family member about overstepping boundaries,"A family member keeps interfering in my decisions, and I need to ask them to stop. How can I do this without causing family drama?","Hey, I hope you're doing well. There's something I wanted to discuss with you about our relationship. I value your input, but sometimes I feel like my decisions are being second-guessed. Can we chat about this?",Claude,3,4,3,Or
Telling a roommate they need to move out,"Iג€™ve decided I want my roommate to move out, but I donג€™t want to create conflict. How can I tell them this politely?","Hey, I know we don't have family or close friends nearby, and I value our friendship and our living situation. But I've been feeling like I need my own space, and I think it's best if we don't live together anymore. I hope you understand, and I promise to help you find a new place or a new roommate. Let's talk about it soon and figure out the next steps together.",Friends RAG,4,3,5,Or
Addressing a friend who frequently cancels plans,"My friend keeps canceling plans last minute, and itג€™s starting to bother me. How can I bring this up without causing offense?","Hi, I hope you're doing well. There's something I wanted to talk about. I've noticed a pattern of last-minute cancellations lately, and it's been tough to plan around. Can we chat about this?",Claude,3,3,3,Or
Breaking bad news to someone whoג€™s overly enthusiastic,"A coworker is really excited about a project, but I need to tell them itג€™s not going ahead. How can I break the news without killing their enthusiasm?","Hey, I wanted to chat with you about the project you're working on. There's been a change in plans. Can we find a time to discuss this? I'd like to explore other opportunities too.",Claude,3,2,3,Or
Turning down a job offer or promotion,"I was offered a promotion, but Iג€™m happy with my current role. How do I decline while expressing gratitude?","Hi [Manager's Name], I hope you’re doing well. I want to thank you for the promotion offer and for believing in my abilities. After giving it some thought, I’ve decided to remain in my current role as I’m happy where I am. I truly appreciate your support and understanding, and I look forward to continuing to contribute to the team!",GPT,4,5,4,Or
Ending a long-term friendship,I feel our friendship has become one-sided and draining. How can I explain this and respectfully end it?,"Hey [Friend's Name], I hope you’re doing okay. I wanted to talk about something that’s been on my mind. I feel that our friendship has become one-sided and a bit draining for me. I think it’s best for both of us to part ways. I appreciate the good times we’ve had, and I wish you all the best moving forward. Thank you for understanding!",GPT,3,4,3,Or
Break Up,"Iג€™ve been dating someone for a few months, but we argue constantly, and itג€™s exhausting. How can I break up with them without focusing on the negatives?","Hi, I hope you're well. There's something I need to discuss with you. I care about you, but I feel like our relationship isn't bringing out the best in either of us. Can we meet to talk things through?",Claude,3,4,4,Or
Asking a coworker to stop copying your work,Someone at work keeps taking credit for my ideas. How do I bring this up without making things awkward in the office?,"Hi, can we schedule a time to chat? I'd like to discuss some concerns I have about our work and credit for ideas.",Claude,2,3,4,Or
Disappointment Prompts,"I had dinner at a restaurant last night, and the food was way below expectations. My steak was overcooked, the server forgot my drink order twice, and we had to wait an hour to get our food. Can you help me write a message to express my disappointment?","Hey, I wanted to let you know about my disappointing dining experi$ence last night. I went to [Restaurant Name], and it was honestly a letdown. My steak was overcooked, and I had to remind the server about my drink order twice. On top of that, we waited for an hour for our food. I understand that mistakes happen, but I wanted to share my feedback as a loyal customer. I hope you can address these issues to ensure a better experience for others. Enjoy your dinner tonight, though!",Friends RAG,3,5,5,Or
Confronting someone about a hygiene issue,I have a coworker with a hygiene problem thatג€™s making things awkward at work. How can I approach this delicately?,"Hey, I wanted to talk to you about something delicate. I've noticed an issue with personal hygiene in the office recently, and I wanted to bring it up with you directly, as it's becoming a bit awkward for me. I'm not sure if you've noticed, but I thought it would be best to come to you directly and respectfully. I know these things can be sensitive, but it's becoming a bit of an issue, and I wanted to give you a heads-up. Hope that's cool!",Friends RAG,4,5,5,Or
Ending a collaboration thatג€™s not working,I need to end a work collaboration thatג€™s no longer productive. How do I phrase this without burning bridges?,"Hey, I wanted to talk to you about our collaboration. I think we both know that it's not as productive as it could be, and I feel like we're not getting the best out of this partnership. I think it's time we ended this particular project, but I wanted to say that I've really valued our work together and I hope we can find a way to collaborate more effectively in the future. I don't want to burn any bridges, so let's stay in touch and maybe we can find a better way to work together down the line.",Friends RAG,3,5,4,Or
Ending a long-term friendship,Iג€™ve outgrown a friendship and want to end it. How can I explain this without hurting them too much?,"I hope you're doing well. I wanted to chat about our friendship. We've shared some great times, but I feel we've grown in different directions. I think it's best if we give each other some space. I wish you all the best.",Claude,4,5,4,Or
Asking someone to stop oversharing personal details,A friend is constantly telling me personal details that I donג€™t want to hear. How can I ask them to tone it down kindly?,"Hey, I wanted to chat about something that's been on my mind. I value our friendship, but sometimes, I feel you share personal details that I'm not always comfortable hearing. I know you might not realize it, but it can be a lot for me at times. Can we maybe talk about less intense stuff sometimes? I want to be here for you, but I also want our chats to be a safe space for both of us.",Friends RAG,5,5,4,Or
Turning down a job offer or promotion,I have another job offer that aligns better with my goals. How can I politely decline the current one without offending the company?,"Hi [Hiring Manager's Name], I hope you’re doing well. I want to express my gratitude for the job offer for [Position Name]. After careful consideration, I’ve decided to accept another opportunity that aligns more closely with my career goals. I truly appreciate the time and effort you and your team invested in the process, and I hope we can stay in touch for future opportunities. Thank you for your understanding!",GPT,5,5,4,Or
Rejecting a gift or favor that has strings attached,"A family member offered me help, but I know it comes with expectations Iג€™m not comfortable with. How do I decline without causing tension?","Hey, I know it's a tough spot to be in, but I wanted to let you know that I'm not comfortable taking you up on your offer of help. I really appreciate the gesture, and I know your heart is in the right place, but I'm just not okay with the expectations that come with it. I don't want to put strain on our relationship, so I wanted to be honest and direct. I hope you understand, and that we can still be cool.",Friends RAG,5,5,5,Or
Breaking bad news to someone whoג€™s overly enthusiastic,"A friend is really excited about an idea, but I know itג€™s not realistic. How can I let them down without hurting their feelings?","Hey [Friend's Name], I love that you’re so passionate about your idea! I wanted to share my thoughts and let you know that I have some concerns about its feasibility. I hope we can brainstorm together to find a more realistic approach. Your enthusiasm is great, and I’m here to support you!",GPT,3,4,4,Or
Asking a neighbor to stop being too loud,I need to ask my neighbors to tone down their noise during quiet hours. How can I phrase this kindly?,"Hey [Neighbor's Name], I hope you’re doing well! I just wanted to ask if it might be possible to keep things a little quieter during the late hours. I’ve been having a bit of trouble sleeping, and I know how easy it is for sound to carry between our homes. I’d really appreciate your understanding with this, and I’m happy to work together if there’s anything I can do on my end too. Thanks so much for your help!",GPT,4,4,5,Or
Service Cancellation Prompts,"Iג€™ve been using the same babysitting service for a while, but Iג€™ve found a new sitter. Can you help me write a message to let them know I wonג€™t need their services anymore?","Hi [Babysitting Service Name], I hope you’re doing well! I wanted to let you know that I’ve found a new sitter, so I won’t be needing your services anymore. I really appreciate all the help you've provided! Thank you!",GPT,4,5,5,Or
Break Up,Iג€™m seeing someone but realized that Iג€™m not over my ex. How do I break up without making it worse?,"Hey, I wanted to talk to you about something. I've realized that I'm not over my ex, and I don't think it's fair to you or me to continue seeing each other when I'm not fully emotionally available. I really like you, and I'm sorry if this hurts, but I think we should take some time apart. I hope you understand, and I genuinely wish you the best.",Friends RAG,5,5,5,Or
Service Cancellation Prompts,"Iג€™ve been using the same house cleaning service for years, but I found a more convenient option. How do I politely let them know Iג€™m canceling the service?","Hi [Service Name], I hope you’re doing well! I wanted to let you know that I’ve found a more convenient cleaning option, so I’ll be canceling my service. I really appreciate all the hard work you've done for me over the years. Thank you!",GPT,3,4,4,Or
Disappointment Prompts,"Iג€™ve been going to the same salon for years, but my last haircut was really bad. The stylist cut my hair way shorter than I asked for, and she was distracted the whole time. How can I express my disappointment to the salon owner?","Hey, I wanted to reach out and let you know that I've been feeling a bit disappointed with my recent experiences at the salon. I've been a loyal customer for years, but my last haircut really wasn't up to the usual standard. I wanted to give some feedback because I value your business and want to see it thrive. Is there a good time to chat about it? I'd really appreciate it if you could hear me out.",Friends RAG,5,5,5,Or
Pushy Parents,"My parents keep telling me to stop pursuing my art and get a 'real job,' but art is my passion. How can I let them know that I donג€™t want to give up my dream just to meet their expectations?","Mom, Dad, I know you want what's best for me, but art isn't just a hobby - it's my passion and my dream career. I'd love to talk more about how I plan to make this work. Can we sit down and discuss this?",Claude,5,5,5,Or
Disappointment Prompts,"I recently stayed at a hotel, and while the location was great, the service was really disappointing. The room wasnג€™t cleaned properly, the staff was rude when I asked for fresh towels, and the breakfast buffet was cold and unappetizing. How can I phrase a complaint to the hotel?","Good day, I'm writing regarding my recent stay at your hotel. While the location was great, I encountered several issues with the service. My room wasn't properly cleaned, staff was unhelpful, and the breakfast was subpar. I'd appreciate the opportunity to discuss this further.",Claude,3,5,3,Or
Addressing a friend who frequently cancels plans,"A friend often bails on plans, and I need to address it. How can I express my frustration without damaging the friendship?","Hey, I wanted to touch base about something. Your friendship means a lot to me, but the frequent cancellations have been frustrating. Can we talk about this and find a way to make our plans work better for both of us?",Claude,4,5,4,Or
Cancelling plans last minute,"I have to cancel plans last minute because of work, and I donג€™t want my friend to feel neglected. How can I apologize?","Hey [Friend's Name], I’m really sorry, but I have to cancel our plans last minute because of work. I hate to do this, and I hope you understand. I really value our time together and can’t wait to reschedule soon. Let’s find another time to catch up!",GPT,3,5,4,Or
Rejecting a gift or favor that has strings attached,"I was offered a gift by someone, but I donג€™t want to accept it due to expectations. How can I refuse it kindly?","Hey [Person's Name], thank you so much for offering me this gift—it’s really thoughtful of you, and I appreciate the gesture. After thinking it over, I feel like I’m not able to accept it because I’m concerned it might come with some expectations that I’m not sure I can fulfill. I hope you understand, and I truly appreciate your kindness. Thanks again!",GPT,3,4,4,Or
Telling a roommate they need to move out,I want to move in with someone else and need my current roommate to leave. How do I tell them this politely?,"Hi, I hope you're doing well. I wanted to discuss our living arrangement. I'm planning some changes and need to talk to you about moving out. When can we chat?",Claude,3,4,3,Or
Break Up,"My girlfriend and I have been together for 1 year, but Iג€™ve realized that Iג€™m not attracted to her in the way I should be. How can I break up with her in a way thatג€™s kind and honest?","Hi, I hope you're having a good day. There's something important I need to discuss with you. This past year has meant a lot to me, but I've been doing some thinking about our relationship. Can we meet up to talk?",Claude,4,3,4,Or
Disappointment Prompts,"I attended a workshop, but it was really poorly organized. The materials werenג€™t ready, the instructor was late, and the content was very basic. How can I express my disappointment to the organizers?","Hi [Organizer's Name], I hope you’re doing well. I wanted to share my feedback regarding the workshop I attended on [date]. Unfortunately, I found the experience to be quite disappointing. The materials were not ready, the instructor arrived late, and the content felt very basic, which didn’t meet my expectations. I believe that with some improvements, future workshops could be much more effective. Thank you for considering my feedback.",GPT,4,5,4,Or
Confronting a family member about overstepping boundaries,My parents keep pushing me to make decisions Iג€™m not comfortable with. How can I ask them to stop without creating a rift?,"Hey, I wanted to talk to you about something. I'm not comfortable with the decisions you've been pushing me to make lately. I know you want what's best for me, but these choices aren't right for me, and I need you to respect that. Can we please talk about this and find a way to understand each other better? I don't want there to be any rift between us, but I need you to know that I'm serious about this.",Friends RAG,4,5,5,Or
Informing someone that their gift wasnג€™t well-received,A family member gave me a gift that I canג€™t use. How do I tell them kindly if they ask about it?,"Thank you so much for the thoughtful gift. I really appreciate your kindness. Just to be honest, it's not something I can use right now.",Claude,3,5,3,Or
Ending a long-term friendship,A friendship Iג€™ve had for years no longer feels healthy. How can I end it without causing unnecessary pain?,"Hey, I wanted to talk to you about something that's been on my mind. Our friendship has meant a lot to me over the years, but lately, it doesn't feel like it used to. I think it might be time for us to go our separate ways. I value the good times we had, but I think it's best for both of us to move on. I hope we can both find our peace and happiness separately. Take care.",Friends RAG,5,5,4,Or
Ending a long-term friendship,"A close friend and I have drifted apart, and I think itג€™s time to end the friendship. How can I phrase this kindly?","Hey, I wanted to talk to you about something that's been on my mind. I feel like we've grown apart, and it's been difficult for us to connect like we used to. I think it might be time for us to accept that our friendship has run its course. I value the memories and the times we had, and I wish you all the best for the future. Take care.",Friends RAG,3,5,4,Or
