Category,query,Response,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Turning down a family or cultural expectation,"Iג€™m being pushed into a cultural expectation, but itג€™s not what I want for myself. How do I say this without disrespecting my family?","Hi [Family Member's Name/Everyone], I know how much our culture and traditions mean to you, and I respect the values that have been passed down to us. I’ve given it a lot of thought, and I feel like I need to make a different choice for myself that aligns more with what I want in life. It’s not an easy decision, and I hope you can understand that it’s not about rejecting our traditions, but about finding a path that feels right for me personally. I really hope we can continue to support and understand each other, even if we don’t always see things the same way.",GPT,4,4,3,Or
Service Cancellation Prompts,"Iג€™ve been going to the same tailor, but I want to try a new one. Can you help me write a polite message to let them know Iג€™m switching?","Hello, I hope this message finds you well. I've decided to try a new tailor, so I won't be coming in for future alterations. Thank you for all your great work over the years.",Claude,3,5,4,Or
Telling a friend you don't want to go into business with them,I donג€™t see myself in the business my friend wants me to join. How can I decline without ruining the friendship?,"Hey [Friend's Name], I really appreciate you considering me for this business opportunity. After thinking it over, I’ve realized that I don’t see myself in that role. I hope you understand, as I truly value our friendship and want to keep it strong. I’m here to support you in other ways!",GPT,3,5,4,Or
Service Cancellation Prompts,"Iג€™ve had the same personal chef, but Iג€™ve decided to cook for myself now. How can I let them know I no longer need their services?","Hello, I hope you're doing well. I've decided to start cooking for myself, so I won't be needing your services anymore. Thank you for all the delicious meals!",Claude,2,4,3,Or
Disappointment Prompts,"I went to a car repair shop, and they charged me a lot for repairs, but my car still has the same issue. How can I write a message to express my frustration and ask for a refund?","Hi [Shop Name/Mechanic's Name], I hope you’re doing well. I’m reaching out regarding the recent repairs done on my car on [date]. Unfortunately, I’m frustrated to find that the same issue persists, despite the significant amount I was charged for the repairs. Given the circumstances, I would like to discuss the possibility of a refund for the service. I appreciate your attention to this matter and hope we can resolve it promptly.",GPT,2,4,4,Or
Service Cancellation Prompts,"Iג€™ve been working with the same accountant for a few years, but I want to switch to someone else. Can you help me write a message to let them know?","Hey, I wanted to let you know that I've decided to switch accountants. I've been thinking about it for a while, and I feel it's time for a change. I appreciate all your hard work over the years, and I wish you all the best. Thank you for your understanding.",Friends RAG,4,5,4,Or
Turning down a family or cultural expectation,"My family is pressuring me to pursue a certain career, but I donג€™t want to. How can I explain this without hurting them?","Hey, I know it's a bit scary, but you need to be honest with your parents about how you feel. It's your future, and your happiness is what matters. Tell them you don't want to hurt them, but you need them to understand that you have your own dreams and aspirations that might not align with the career they have in mind for you. It's important to stand up for yourself, but also do it in a way that shows you still value their support and guidance. Good luck!",Friends RAG,2,3,5,Or
Rejecting someone who confessed their feelings,"Someone I work with confessed their feelings for me, but I donג€™t feel the same way. How do I reject them while keeping it professional?","Hey, I wanted to chat about what you confessed the other day. I value our working relationship and want to be honest with you. I don't feel the same way, and I think it's important we keep things professional between us. I hope you understand, and I want you to know that I still value our friendship and working dynamic.",Friends RAG,5,5,5,Or
Ending a collaboration thatג€™s not working,"Iג€™ve been working with someone on a project, but itג€™s not going well. How can I end the collaboration without causing conflict?","Hey [Name], I hope you’re doing well! I wanted to talk about our project. I’ve been feeling that it’s not progressing as we hoped, and I think it might be best for us to part ways on this. I appreciate the effort you’ve put in, and I hope we can both find success in our future endeavors. Thank you for understanding!",GPT,3,5,4,Or
Break Up,"Iג€™ve been in a relationship for a while, but Iג€™m starting to feel like Iג€™m losing my sense of self. Can you help me phrase a breakup message that focuses on my need for independence?","Hey [Their Name], I want to talk to you about something that’s been weighing on my mind. I truly appreciate the time we’ve spent together and everything we’ve shared. However, I’ve come to realize that I’m starting to lose my sense of self in this relationship, and I think I need to focus on rediscovering who I am as an individual. It’s important for me to have that independence right now. I hope you understand that this decision isn’t a reflection of you; it’s about what I need for my own growth. I wish you nothing but the best moving forward.",GPT,4,3,4,Or
Asking a coworker to stop copying your work,"A colleague keeps copying my work, and itג€™s frustrating. How can I ask them to stop without creating drama?","Hi, can we have a private chat when you have a moment? There's something about our work I'd like to discuss.",Claude,2,2,4,Or
Confronting a family member about overstepping boundaries,A sibling keeps overstepping and meddling in my personal life. How do I ask them to respect my boundaries?,"Hey, I wanted to talk to you about something that's been on my mind. I love that we're close, and I cherish our bond, but lately, I feel like you've been overstepping a bit when it comes to my personal life. I need you to respect my boundaries and understand that I'll come to you if and when I need your advice or input. I know you mean well, but it's important to me that we maintain a healthy dynamic where we respect each other's space. I hope you understand, and I want us to continue being there for each other.",Friends RAG,5,4,4,Or
Ending a mentorship or advising relationship,"Iג€™ve been working with a mentor, but Iג€™ve realized I need different guidance. How can I end the mentorship without causing offense?","Hi, I'd like to talk about our mentorship. My needs have changed, and I think it's time for a new direction. Can we discuss this?",Claude,3,3,4,Or
Addressing someone whoג€™s not paying you back,"A coworker owes me money, but I donג€™t want to make it uncomfortable. How can I ask for repayment politely?","Hey, I wanted to talk to you about the money [Colleague] owes me. I know it's awkward, but I was wondering if you could repay me soon? I totally understand if it's an inconvenience, but I'd really appreciate it if we could sort this out. No hard feelings, I promise!",Friends RAG,3,5,3,Or
Asking a neighbor to stop being too loud,"The neighborג€™s dog is constantly barking, and I want to ask them to address it. How do I say this politely?","Hi there, I hope this message finds you well. I wanted to chat with you about your dog. I know dogs bark, but lately it's been quite frequent and loud. Could we discuss some ways to manage this?",Claude,4,4,3,Or
Telling someone you no longer want to be their bridesmaid/groomsman,"I agreed to be a groomsman, but Iג€™ve realized I donג€™t have the time to dedicate. How can I let my friend know kindly?","Hey [Friend's Name], I hope you’re doing well! I wanted to talk to you about something important. I’ve realized that I won’t be able to dedicate the time needed to be a groomsman, and I’m really sorry for any inconvenience this may cause. I appreciate your understanding, and I’ll definitely be there to support you on your big day!",GPT,3,5,4,Or
Ending a mentorship or advising relationship,"Iג€™m ready to move on from my mentorship, but I donג€™t want to hurt their feelings. How can I bring this up kindly?","Hi [Mentor's Name], I hope you’re doing well! I wanted to take a moment to thank you for all your support and guidance. I’ve been doing some thinking, and I feel it’s time for me to move on from our mentorship. I truly appreciate everything you’ve shared with me, and I hope we can keep in touch!",GPT,4,5,4,Or
Ending a long-term friendship,A friendship Iג€™ve had for years no longer feels healthy. How can I end it without causing unnecessary pain?,"
Hey [Friend's Name], I hope you’re doing okay. I’ve been doing some thinking about our friendship, and I feel that it’s no longer healthy for me. I think it’s best for both of us to part ways. I appreciate the good times we've shared, and I wish you all the best moving forward. Thank you for understanding!",GPT,3,4,4,Or
Ending a collaboration thatג€™s not working,"Iג€™ve been collaborating with someone on a project, but itג€™s not going well. How can I end it without burning bridges?","Hey, I wanted to talk to you about our project. I think we both know it's not going as well as we'd hoped, and I'm not sure we're getting the best out of each other. I think it's best we take a step back and re-evaluate. I don't want to waste your time or mine, and I think we can both move on and still be cool with each other. Let's chat and see where we're at.",Friends RAG,5,3,5,Or
Informing someone that their gift wasnג€™t well-received,"A friend gave me a gift, but itג€™s something I donג€™t like. How can I tell them kindly without hurting their feelings?","Hey [Friend's Name], thank you so much for the gift—it means a lot to me that you thought of me! You always put so much thought into what you give, and I really appreciate that. I just wanted to be honest with you—I don’t think it’s quite my style/taste, but it’s truly the thought that counts, and I appreciate it so much. I hope you know how much I value our friendship and your kindness!",GPT,5,3,4,Or
Ending a long-term friendship,I feel our friendship has become one-sided and draining. How can I explain this and respectfully end it?,"Hey, I wanted to talk to you about our friendship. I feel like it's become a bit one-sided and uneven lately, and it's starting to affect me. I think it might be best for both of us if we took a step back and focused on other people and things for a while. I hope you understand, and I wish you all the best.",Friends RAG,4,5,4,Or
Informing someone that their gift wasnג€™t well-received,I got a gift that I donג€™t care for. How can I express this kindly if they ask about it?,"Hey, I wanted to say thank you for the gift. I appreciate the thought, but it's not really my taste. I hope you don't mind me being honestג€”I thought it was better than pretending! Let me know if you'd like me to return it or pass it on. No hard feelings, I hope!",Friends RAG,2,5,3,Or
Turning down a job offer or promotion,I've been offered a job but it's not the right fit. How can I politely decline without burning bridges?,"Hey, I really appreciate the job offer. After careful consideration, I don't think it's the right fit for me at this time. I've enjoyed getting to know you and the team, and I wish you all the best in finding the perfect candidate.",Claude,4,5,4,Or
Telling a roommate they need to move out,Iג€™m no longer comfortable living with my roommate. How can I ask them to move out without making it too awkward?,"Hey, can we find some time to talk about our living situation? I'm not feeling comfortable with the current arrangement. Let me know when you're free.",Claude,2,2,4,Or
Ending a mentorship or advising relationship,"Iג€™ve been working with a mentor, but their advice is no longer relevant. How can I end the relationship without causing offense?","Hi [Mentor's Name], I just wanted to take a moment to express how much I’ve appreciated your guidance and support. You’ve helped me grow a lot, and I’m really grateful for everything I’ve learned from you. As I’m moving in a new direction with my goals, I feel like it might be the right time for me to explore other perspectives and focus on some different areas. I hope we can stay in touch, and I truly value the time and wisdom you’ve shared with me. Thanks again for everything!",GPT,4,4,4,Or
Addressing a friend who frequently cancels plans,"My friend often cancels plans, and I need to address it. How do I tell them itג€™s starting to bother me?","Hey, I wanted to talk to you about something that's been bothering me lately. I've noticed that we've been making plans, but then they often get canceled, and it's starting to affect me. I wanted to bring it up because I value our friendship and don't want this to create any distance between us. Can we talk about it? I think it's important we address this together.",Friends RAG,4,5,5,Or
Ending a collaboration thatג€™s not working,I need to end a partnership thatג€™s not working. How can I phrase this without causing conflict?,"Hey, I hope you're doing well. There's something I wanted to discuss about our partnership. I feel like it's not working out as we'd hoped. Can we find a time to chat about how to move forward?",Claude,4,4,4,Or
Ending a mentorship or advising relationship,"My advisor isnג€™t helpful anymore, and I want to step away from the relationship. How can I phrase this kindly?","Hello, I'd like to discuss our advisory relationship. I feel my needs have evolved. Could we find a time to chat about this?",Claude,3,3,4,Or
Confronting a family member about overstepping boundaries,A sibling keeps meddling in my personal life. How can I ask them to stop respectfully?,"Hey [Sibling's Name], I know you care about me and just want the best for me, and I really appreciate that. But lately, I’ve been feeling like I need a little more space when it comes to my personal life. It would mean a lot to me if you could give me some room to handle things on my own. I promise if I need advice or support, I’ll definitely reach out to you. Thanks for understanding—I hope this doesn’t come across the wrong way.",GPT,4,4,5,Or
Ending a collaboration thatג€™s not working,"A work collaboration isnג€™t productive, and I want to step away. How can I express this professionally?","Hi [Collaborator's Name], I’ve appreciated the chance to work together on this project and the insights you’ve brought to the table. After giving it some thought, I’ve realized that I need to shift my focus and take a different approach with my work. I think it would be best for me to step back from this collaboration to ensure that both of us can work most effectively. I hope you understand, and I’m grateful for the time we’ve worked together. Please feel free to reach out if you’d like to collaborate again in the future. Thanks so much for your understanding!",GPT,3,2,3,Or
Service Cancellation Prompts,"Iג€™ve had the same yoga instructor for months, but I want to try a new class. Can you help me write a message to inform them I wonג€™t be attending their classes anymore?","
Hi [Instructor's Name], I hope you’re doing well! I wanted to let you know that I’ve decided to try a new yoga class, so I won’t be attending yours anymore. I really appreciate all the guidance and support you’ve given me. Thank you!",GPT,3,4,3,Or
Confronting someone about a hygiene issue,"My friend has bad breath, and I feel awkward bringing it up. How can I do it kindly?","Hey, I hope you don't mind me bringing this up, but I've noticed your breath has been a bit strong lately. I'm only mentioning it because I care about you. Maybe we could grab some mints together?",Claude,2,2,3,Or
Break Up,"Iג€™ve been seeing someone for a while, but Iג€™ve realized we have different life goals. Could you help me phrase a breakup message?","Hey [Name], I’ve really enjoyed the time we’ve spent together, and I care about you a lot. After thinking about it, though, I’ve realized that our life goals and what we’re looking for in the future are heading in different directions. It’s not an easy decision for me, but I think it’s best for both of us if we go our separate ways. I hope you understand, and I wish you all the best moving forward. You deserve someone whose path aligns more closely with yours.",GPT,5,4,5,Or
Telling a roommate they need to move out,I need more space and want to ask my roommate to move out. How do I do this without causing tension?,"Hi, I wanted to chat about our living situation. I've realized I need more personal space, and I think it might be best if we lived separately. Can we talk about this when you're free? I want to make sure we handle this in the best way possible.",Claude,4,3,4,Or
Rejecting a gift or favor that has strings attached,"Someone offered me a gift, but I feel it comes with obligations. How can I turn it down politely?","I'm touched by your generous offer. After careful consideration, I don't feel I can accept it. Thank you for thinking of me.",Claude,3,4,3,Or
Rejecting a gift or favor that has strings attached,I was offered a favor that seems to have strings attached. How can I reject it kindly without offending them?,"Hey [Name], I really appreciate your offer to help, but I think I need to pass this time. I’m not comfortable with the conditions that might come with it. Thank you for understanding, and I hope you know I value our relationship!





",GPT,3,5,4,Or
Asking a coworker to stop copying your work,"A coworker is mimicking my work, and itג€™s starting to affect me. How can I address this without causing tension?","Hey, I was hoping we could talk about our recent projects. I've noticed some similarities that I'd like to discuss. When are you free?",Claude,3,3,4,Or
Turning down a job offer or promotion,I have another job offer that aligns better with my goals. How can I politely decline the current one without offending the company?,"
Hi [Hiring Manager's Name], I hope you’re doing well. I want to thank you for the job offer for [Position Name]. After careful consideration, I’ve decided to accept another opportunity that aligns more closely with my career goals. I genuinely appreciate the offer and the time you and your team invested in the process. I hope to stay in touch for future opportunities. Thank you again for your understanding!",GPT,5,5,5,Or
Rejecting someone who confessed their feelings,"A close friend has feelings for me, but I only see them as a friend. How can I phrase this without making things awkward?","Hey, I know we're close, and I value our friendship so much. I wanted to be honest with you because I sense that you might have feelings for me, and I don't want to lead you on. I'm so sorry, but I only see you as a friend, and I don't want to risk making things weird between us. I hope we can still hang out and be cool, because I truly value our friendship.",Friends RAG,5,4,5,Or
Cancelling plans last minute,I have to cancel plans last minute and I donג€™t want my friend to feel disrespected. How can I phrase this?,"Hey, I'm so sorry but something unexpected came up and I need to cancel our plans for today. Can we reschedule? I feel terrible about the short notice.",Claude,4,4,5,Or
Telling a friend you don't want to go into business with them,"A friend asked me to go into business with them, but Iג€™m not interested in mixing friendship with business. How do I express this without damaging the friendship?","I'm flattered you thought of me for your business venture. After thinking it over, I don't think mixing our friendship with business is the right move for me. I hope you understand.",Claude,4,4,4,Or
Rejecting someone who confessed their feelings,"A friend told me they like me, but I only see them as a friend. How can I turn them down without ruining the friendship?","Hey, I'm really touched that you shared your feelings with me. You're a great friend, but I don't have the same romantic feelings. I hope we can still be friends.",Claude,3,5,4,Or
Break Up,"Iג€™ve been dating this guy for a few months, and while I like him, I feel like we have no emotional connection. How do I break up with him without making it too awkward?","Hey, I wanted to chat about something that's been on my mind. I like you, and I've enjoyed the time we've spent together, but I can't shake the feeling that we're not quite on the same page emotionally. I think it's important to be honest and upfront about this sort of thing, so I wanted to let you know that I'm considering ending our relationship. I just don't feel like we have the emotional connection I'm looking for in a partner. I wanted to talk to you about this in person and see how you feel. I hope we can still be cool and, if nothing else, walk away from this as friends.",Friends RAG,4,5,5,Or
Breaking bad news to someone whoג€™s overly enthusiastic,"Someone is overly enthusiastic about an idea, but I donג€™t think it will work. How do I let them down without crushing their spirit?","Hi there, I've been thinking about your idea and I really appreciate your enthusiasm. I have some concerns though. Could we chat about it? I'd love to explore how we might adapt it to make it more feasible.",Claude,4,3,4,Or
Pushy Parents,"My parents are pressuring me to stay in my hometown, but Iג€™ve always wanted to explore the world. How do I tell them that I need to go after my dream of living abroad?","Hey Mom and Dad, I know you want me close, but I've always dreamed of experiencing life abroad. Can we talk about this? I'd love to share my plans and hear your thoughts.",Claude,3,5,4,Or
Telling a roommate they need to move out,"My roommate and I have different lifestyles, and I want to ask them to move out. How can I phrase this without making it uncomfortable?","Hey, I hope you're doing well. I wanted to have an open conversation about our living arrangement. I think our lifestyles aren't quite compatible, and it might be best if we lived separately. Can we discuss this further?",Claude,4,3,4,Or
Telling a friend you don't want to go into business with them,I donג€™t want to go into business with my friend. How can I express this without causing tension?,"I've been thinking a lot about your business proposal. While I'm honored you considered me, I don't think it's the right move for me at this time. I hope you understand, and I'm excited to support your venture in other ways!",Claude,3,3,4,Or
Service Cancellation Prompts,"Iג€™ve been using the same landscaper for a while, but I want to switch to a new company. How do I phrase a message to let them know I wonג€™t be using their services anymore?","Hi, I wanted to let you know that I've decided to switch to a new landscaping company. Thank you for maintaining my yard so beautifully over the years.",Claude,3,4,3,Or
Service Cancellation Prompts,"Iג€™ve been seeing the same massage therapist for a while, but Iג€™ve decided to try a new one. How can I kindly let them know I wonג€™t be scheduling more sessions?","Hi, I hope you're doing well. I've decided to try a new massage therapist, so I won't be scheduling any more sessions. Thank you for all the relaxing massages!",Claude,3,4,3,Or
Disappointment Prompts,"I recently had a plumber come to fix a leak in my bathroom, but after he left, the leak was still there. He charged me a lot for the job, and now I need to call someone else to fix it. How can I express my frustration?","Hello, I'm reaching out about the recent plumbing work done in my bathroom. Unfortunately, the leak is still present after your visit. Given the high cost of the service, I'm quite concerned. Can we discuss how to resolve this issue?",Claude,5,5,5,Or
Turning down a family or cultural expectation,"My family wants me to get married, but Iג€™m not ready. How can I express my feelings without upsetting them?",I'd like to talk about the topic of marriage. I have some thoughts I'd like to share. Can we find a time to chat?,Claude,2,3,3,Or
Service Cancellation Prompts,I want to switch my cleaning service because I found a more affordable option. How do I tell the current cleaning lady she won't need to come anymore?,"Hello, I wanted to inform you that I've decided to switch to a different cleaning service. I appreciate all your hard work and dedication. Thank you for everything.",Claude,4,4,4,Or
Break Up,"Iג€™ve been casually dating a girl, but Iג€™ve realized sheג€™s way more serious about us than I am. How do I let her down gently?","Hey [Her Name], I wanted to talk about where we’re at. I’ve really enjoyed spending time with you and getting to know you, but I’ve come to realize that I’m not in the same place in terms of how serious I want this to be. I think you deserve someone who is fully on the same page and ready for the kind of relationship you’re looking for. I truly appreciate the time we’ve spent together, and I hope we can part on good terms. Wishing you all the best moving forward.",GPT,3,3,4,Or
Disappointment Prompts,"I recently hired a cleaning service, but they did a terrible job. They missed several areas in the house, and when I pointed it out, they were rude and dismissive. How do I write a complaint to the company?","Hi [Cleaning Service Name], I hope you’re well. I wanted to bring to your attention my recent experience with your cleaning service on [date]. Unfortunately, I was very disappointed with the quality of the cleaning. Several areas in my home were missed, and when I pointed this out, the staff was rude and dismissive. I expected a higher standard of service, and this experience did not meet those expectations. I would appreciate your attention to this matter and a response regarding how we can resolve this issue. Thank you.",GPT,4,5,4,Or
Telling someone you no longer want to be their bridesmaid/groomsman,"I agreed to be a bridesmaid, but now I canג€™t commit. How can I let the bride know without causing drama?","Hey [Bride's Name], I wanted to talk to you about something that’s been on my mind. I’m so grateful that you asked me to be a bridesmaid, and it means a lot to me. But after thinking it over, I realize that I’m not able to commit to everything that comes with the role. I really don’t want to let you down on such an important day, so I think it’s best if I step back now rather than later. I hope you understand, and I’m still here for you if you need any help or support leading up to the wedding!",GPT,5,5,5,Or
Turning down a family or cultural expectation,"Iג€™m expected to follow a cultural path I donג€™t agree with, and I need to tell my family. How can I express this without causing offense?",I'd like to talk about some cultural expectations. I have some different ideas about my path. Can we find time to discuss this?,Claude,3,3,3,Or
Telling a friend you don't want to go into business with them,"I value our friendship, but I donג€™t feel comfortable joining a business venture together. How can I phrase this kindly?","Hey, I hope you're doing well. I wanted to chat about the business idea you shared with me. I really value our friendship, and I think it's important to be honest about this. I don't feel comfortable moving forward with the venture, but I want you to know that it's not a reflection on our friendship or your idea. It's just not something I feel I can commit to right now. I hope you understand, and I'm here if you want to talk about it.",Friends RAG,4,4,4,Or
Pushy Parents,"My parents keep asking when Iג€™m going to 'settle down,' but thatג€™s not what I want right now. How do I explain that Iג€™m happy with my current life and not in a rush to change it?","Hi Mom and Dad, I know you're concerned about my future. I'm happy with where I am right now, and I'm not ready for the traditional 'settling down' yet. Can we chat about this? I'd love to explain my perspective.",Claude,3,4,3,Or
Service Cancellation Prompts,"Iג€™ve been getting my nails done at the same salon, but I found a new place closer to work. Can you help me phrase a message to cancel future appointments?","Hey, I hope you're doing great. I've found a new nail salon closer to my work, so I'll be cancelling my future appointments. Thanks for all the amazing manicures!",Claude,3,5,3,Or
Turning down a job offer or promotion,"Iג€™ve been offered a promotion, but Iג€™m not interested in the additional responsibilities. How do I turn it down gracefully?","Thanks so much for considering me for the promotion. I'm honored, but I've realized I'm not ready to take on additional responsibilities right now. I hope you understand, and I'm excited to keep contributing in my current role.",Claude,4,5,4,Or
Asking a neighbor to stop being too loud,"My neighbors are really noisy late at night, and itג€™s affecting my sleep. How can I ask them to be quieter without being rude?","Hey [Neighbor's Name], I hope you’re doing well! I just wanted to mention that I’ve been having a bit of trouble sleeping lately because of the noise late at night. I totally understand that everyone has their own schedule, but if it’s possible to keep things a little quieter during late hours, I’d really appreciate it. Thanks so much for your understanding, and let me know if there’s anything I can do on my end too!",GPT,4,5,5,Or
Break Up,"Iג€™ve been in a relationship for 8 months, and while heג€™s been great, I feel like Iג€™m not ready to settle down. How do I tell him this without hurting his feelings?","Hey, I hope you're doing well. There's something I need to talk to you about. I've really enjoyed our time together, but I'm realizing I'm not in the right place for a serious relationship right now. Can we meet up to chat?",Claude,3,3,4,Or
Break Up,I recently realized my girlfriend and I are not compatible in terms of values. Could you help me end the relationship politely?,"Hey, I wanted to talk to you about something that's been on my mind. I care about you, but I've realized that we might not be as compatible as I thought we were, especially when it comes to our values. This is hard for me to say, but I think it might be best for both of us if we ended things now. I hope we can both move forward and find what we're looking for. Take care.",Friends RAG,5,5,5,Or
Break Up,"Iג€™ve been with my boyfriend for a year, but Iג€™m starting to feel more like roommates. Could you help me with a breakup text?","Hey [Boyfriend's Name], I’ve been doing a lot of thinking about our relationship, and I want to be honest with you. I really appreciate the time we’ve spent together over the past year, but I’m starting to feel like we’re more like roommates than partners. I think it’s best for both of us to go our separate ways. This isn’t an easy decision, and it’s not a reflection of you as a person. I truly wish you all the best, and I hope you understand.",GPT,5,5,5,Or
Confronting someone about a hygiene issue,"A coworker has a body odor issue, and I need to bring it up tactfully. How can I phrase this without embarrassing them?","Hey, I wanted to talk to you about something a little sensitive. I've noticed that sometimes you have a bit of a body odor issue, and I wanted to bring it up in a respectful way. It's a tough topic to address, but I thought you should know so that you can be aware and take care of it. I'm sure it's an easy fix, and I don't want it to be a big deal. Let me know if there's anything I can do to help, and we can work together to sort this out discreetly.",Friends RAG,5,4,4,Or
Asking someone to stop oversharing personal details,"A coworker keeps oversharing about their personal life, and itג€™s making me uncomfortable. How can I ask them to stop without being rude?","Hey, I wanted to chat about something. You've been sharing a lot about your personal life lately, and while I appreciate your honesty, it's starting to make me feel a bit uncomfortable. I'd appreciate it if we could keep our conversations more focused on work from now on. Thanks, and I hope you understand.",Friends RAG,5,5,5,Or
Cancelling plans last minute,I had a family emergency come up and need to cancel plans. How do I explain this without making them feel unimportant?,"Hey, sorry for the late notice, but I have a family emergency and need to cancel our plans. I know this is last minute, and I totally understand if you're upset, but it's important that I deal with this now. I promise I'll make it up to you when things calm down.",Friends RAG,5,5,5,Or
Addressing a friend who frequently cancels plans,"A friend keeps canceling our plans last minute, and itג€™s frustrating. How can I bring it up without damaging the friendship?","Hey, I wanted to talk to you about something that's been frustrating me lately. I know we make plans, and then you cancel them last minute, and it's becoming a pattern. I get that things come up, but this is affecting me, and I wanted to bring it up before it caused any more issues between us. I value our friendship, and I'm hoping we can work this out.",Friends RAG,4,5,4,Or
Service Cancellation Prompts,"Iג€™ve been using the same home repairman for a while, but Iג€™ve found a new service provider. How do I phrase a message to let them know?","Hey, I just wanted to let you know that I've decided to switch to a new home repair service provider. I've been meaning to tell you, and I just wanted to say thanks for all your help up to this point. I appreciate it!",Friends RAG,4,5,4,Or